ISO	Name	Tone	Tone_number	Tone_comments
pbb	Paez	None	0	
pbh	Panare	None	0	
pes	Farsi, Western	None	0	
pib	Yine	None	0	
pid	Piaróa	None	0	
pio	Piapoco	Simple	2	
pjt	Pitjantjatjara	None	0	
plw	Palawan, Brookes Point	None	0	
pma	Paamese	None	0	
pol	Polish	None	0	
pom	Southeastern Pomo	None	0	
pqm	Passamaquoddy	Simple	2	
pui	Wanshöhöt	Complex	4	
pwa	Pawaian, Oyobe dialect	Simple	2	
pwn	Paiwan, Southern	None	0	
pww	Phlong	Complex	4	
quh	Quechua, Cochabamba	None	0	
qvi	Quechua, Imbabura 	None	0	
ram	Canela-Krahô	None	0	
rao	Rao	None	0	
rap	Rapanui	None	0	
rgr	Resigaro	Simple	2	
rma	Rama	None	0	
roo	Rotokas	None	0	
rro	Roro	None	0	
rth	Toratán	None	0	
rtm	Rotuman	None	0	
rus	Russian	None	0	
sab	Bocotá, Chiriquí dialect	None	0	
sad	Sandawe	Complex	4	
sag	Sango	Moderately complex	3	
sah	Yakut	None	0	
sat	Santali	None	0	
sbc	Kele (Papua New Guinea)	None	0	
scs	Slave, Hare dialect (North)	Simple	2	
sed	Sedang	None	0	
see	Seneca	Marginal	1	
sei	Seri	None	0	
sel	Selkup, Taz (Northern) dialect	None	0	
set	Sentani	None	0	
sgw	Chaha	None	0	
she	Sheko	Complex	9	
shi	Tashlhiyt	None	0	
shp	Shipibo-Konibo	None	0	
sht	Shasta	Simple	2	
sin	Sinhala	None	0	
siz	Siwi	None	0	
sja	Epena	None	0	
skd	Sierra Miwok, Southern	None	0	
slc	Saliba (Colombia)	None	0	
slv	Slovene	Simple	2	pitch-accent
snd	Sindhi	None	0	
snf	Noon	None	0	
snn	Siona	None	0	
spa	Spanish (Peninsular Castilian)	None	0	
spl	Selepet	None	0	
spp	Supyire, Kampwo dialect	Complex	4	
spu	Sapuan	None	0	
srb	Sora	None	0	
stv	Silt\'i	None	0	
sue	Suena	Simple	2	
sun	Sundanese	None	0	
sva	Svan, Lower Bal dialect	None	0	
svs	Savosavo	None	0	
swe	Swedish	Simple	2	pitch-accent
swh	KiSwahili	None	0	
sxm	Samre	Moderately complex	3	
sza	Semelai	None	0	
tab	Tabasaran	None	0	
tae	Tariana	None	0	
tam	Tamil	None	0	
tan	Tangale, Shongom dialect	Simple	2	
tbi	Gaahmg	Complex	4	
tca	Ticuna	Complex	5	
tcf	Tlapanec, Malinaltepec	Complex	11	
tcy	Tulu	None	0	
teh	Tehuelche	None	0	
tem	Themne	Simple	2	
tet	Tetun, Western dialect	None	0	
teu	So	None	0	
tez	Tetserret	None	0	
tgc	Tigak	None	0	
tgl	Tagalog	None	0	
tha	Thai, Standard	Complex	5	
thd	Kuuk Thaayorre	None	0	
